시군구,번지,단지명,전용면적(㎡),거래금액(만원)
서울특별시 마포구 공덕동,371,공덕1삼성래미안,114.88,"143,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"99,500"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"96,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"89,000"
서울특별시 마포구 공덕동,371,공덕1삼성래미안,59.74,"89,900"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"118,000"
서울특별시 마포구 공덕동,43,공덕2삼성래미안,84.94,"115,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"117,500"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"120,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"144,500"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"120,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,84.98,"145,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,59.97,"118,000"
서울특별시 마포구 공덕동,457,공덕3삼성래미안,114.98,"155,000"
서울특별시 마포구 공덕동,476,공덕파크자이,84.9802,"153,000"
서울특별시 마포구 공덕동,476,공덕파크자이,84.9541,"157,700"
서울특별시 마포구 공덕동,370-9,공덕현대,51.62,"71,000"
서울특별시 마포구 공덕동,370-9,공덕현대,51.62,"71,500"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"102,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"109,800"
서울특별시 마포구 공덕동,464,래미안공덕4차,83.42,"134,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"114,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"102,000"
서울특별시 마포구 공덕동,464,래미안공덕4차,59.9,"109,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,84.851,"140,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"119,500"
서울특별시 마포구 공덕동,469,래미안공덕5차,84.859,"142,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"121,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"110,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,113.866,"148,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"119,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"121,700"
서울특별시 마포구 공덕동,469,래미안공덕5차,59.959,"122,000"
서울특별시 마포구 공덕동,469,래미안공덕5차,113.866,"147,000"
서울특별시 마포구 공덕동,111-7,로즈빌A,84.72,"64,700"
서울특별시 마포구 공덕동,188-108,마포현대,72.49,"88,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"74,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"74,000"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"93,500"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"75,000"
서울특별시 마포구 공덕동,188-108,마포현대,59.95,"77,500"
서울특별시 마포구 공덕동,188-108,마포현대,84.87,"95,000"
서울특별시 마포구 공덕동,10월 30일,솔리스타,14.29,"16,760"
서울특별시 마포구 공덕동,10월 30일,솔리스타,16.99,"17,300"
서울특별시 마포구 공덕동,10월 30일,솔리스타,16.99,"17,000"
서울특별시 마포구 공덕동,460,한화꿈에그린,84.939,"110,000"
서울특별시 마포구 공덕동,11-168,효창그린빌라트,163.57,"70,000"
서울특별시 마포구 노고산동,01월 25일,신촌다올노블리움,14.52,"22,000"
서울특별시 마포구 노고산동,01월 25일,신촌다올노블리움,14.2,"22,300"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"32,800"
서울특별시 마포구 노고산동,01월 03일,신촌포스빌,32.34,"31,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,31.57,"27,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,32.8,"26,250"
서울특별시 마포구 노고산동,107-36,현대벤처빌,31.57,"26,000"
서울특별시 마포구 노고산동,107-36,현대벤처빌,34.64,"26,500"
서울특별시 마포구 대흥동,802,대흥동세양,60,"76,000"
서울특별시 마포구 대흥동,802,대흥동세양,84.6,"89,300"
서울특별시 마포구 대흥동,802,대흥동세양,84.6,"89,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.95,"139,000"
서울특별시 마포구 대흥동,804,마포자이2차,84.95,"138,500"
서울특별시 마포구 대흥동,660,마포태영,59.4,"92,300"
서울특별시 마포구 대흥동,660,마포태영,59.4,"89,900"
서울특별시 마포구 대흥동,660,마포태영,59.4,"92,000"
서울특별시 마포구 대흥동,660,마포태영,59.4,"92,500"
서울특별시 마포구 대흥동,660,마포태영,84.77,"121,000"
서울특별시 마포구 대흥동,660,마포태영,114.93,"140,000"
서울특별시 마포구 대흥동,660,마포태영,114.93,"125,000"
서울특별시 마포구 대흥동,660,마포태영,59.4,"87,000"
